Day,snap_shot,location,location_abbr,cases,Source
2022-06-15,2022-06-15 23:37:06,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,1,CDC
2022-06-16,2022-06-16 23:24:03,Arizona,AZ,1,CDC
2022-06-16,2022-06-16 23:24:03,California,CA,21,CDC
2022-06-16,2022-06-16 23:24:03,Colorado,CO,4,CDC
2022-06-16,2022-06-16 23:24:03,District of Columbia,DC,4,CDC
2022-06-16,2022-06-16 23:24:03,Florida,FL,9,CDC
2022-06-16,2022-06-16 23:24:03,Georgia,GA,3,CDC
2022-06-16,2022-06-16 23:24:03,Hawaii,HI,5,CDC
2022-06-16,2022-06-16 23:24:03,Illinois,IL,13,CDC
2022-06-16,2022-06-16 23:24:03,Massachusetts,MA,7,CDC
2022-06-16,2022-06-16 23:24:03,Maryland,MD,1,CDC
2022-06-16,2022-06-16 23:24:03,Nevada,NV,1,CDC
2022-06-16,2022-06-16 23:24:03,New York,NY,17,CDC
2022-06-16,2022-06-16 23:24:03,Ohio,OH,1,CDC
2022-06-16,2022-06-16 23:24:03,Oklahoma,OK,1,CDC
2022-06-16,2022-06-16 23:24:03,Oregon,OR,1,CDC
2022-06-16,2022-06-16 23:24:03,Pennsylvania,PA,2,CDC
2022-06-16,2022-06-16 23:24:03,Rhode Island,RI,1,CDC
2022-06-16,2022-06-16 23:24:03,Texas,TX,2,CDC
2022-06-16,2022-06-16 23:24:03,Utah,UT,2,CDC
2022-06-16,2022-06-16 23:24:03,Virginia,VA,1,CDC
2022-06-16,2022-06-16 23:24:03,Washington,WA,2,CDC
2022-06-16,2022-06-16 23:24:03,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,1,CDC
2022-06-17,2022-06-20 23:54:03,Arizona,AZ,1,CDC
2022-06-17,2022-06-20 23:54:03,California,CA,24,CDC
2022-06-17,2022-06-20 23:54:03,Colorado,CO,5,CDC
2022-06-17,2022-06-20 23:54:03,District of Columbia,DC,4,CDC
2022-06-17,2022-06-20 23:54:03,Florida,FL,10,CDC
2022-06-17,2022-06-20 23:54:03,Georgia,GA,3,CDC
2022-06-17,2022-06-20 23:54:03,Hawaii,HI,5,CDC
2022-06-17,2022-06-20 23:54:03,Illinois,IL,15,CDC
2022-06-17,2022-06-20 23:54:03,Massachusetts,MA,7,CDC
2022-06-17,2022-06-20 23:54:03,Maryland,MD,1,CDC
2022-06-17,2022-06-20 23:54:03,Nevada,NV,1,CDC
2022-06-17,2022-06-20 23:54:03,New York,NY,21,CDC
2022-06-17,2022-06-20 23:54:03,Ohio,OH,1,CDC
2022-06-17,2022-06-20 23:54:03,Oklahoma,OK,2,CDC
2022-06-17,2022-06-20 23:54:03,Oregon,OR,1,CDC
2022-06-17,2022-06-20 23:54:03,Pennsylvania,PA,2,CDC
2022-06-17,2022-06-20 23:54:03,Rhode Island,RI,1,CDC
2022-06-17,2022-06-20 23:54:03,Texas,TX,2,CDC
2022-06-17,2022-06-20 23:54:03,Utah,UT,2,CDC
2022-06-17,2022-06-20 23:54:03,Virginia,VA,1,CDC
2022-06-17,2022-06-20 23:54:03,Washington,WA,2,CDC
2022-06-17,2022-06-20 23:54:03,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,CDC
2022-06-21,2022-06-21 23:57:17,Arizona,AZ,1,CDC
2022-06-21,2022-06-21 23:57:17,California,CA,24,CDC
2022-06-21,2022-06-21 23:57:17,Colorado,CO,5,CDC
2022-06-21,2022-06-21 23:57:17,District of Columbia,DC,4,CDC
2022-06-21,2022-06-21 23:57:17,Florida,FL,10,CDC
2022-06-21,2022-06-21 23:57:17,Georgia,GA,3,CDC
2022-06-21,2022-06-21 23:57:17,Hawaii,HI,5,CDC
2022-06-21,2022-06-21 23:57:17,Illinois,IL,15,CDC
2022-06-21,2022-06-21 23:57:17,Massachusetts,MA,7,CDC
2022-06-21,2022-06-21 23:57:17,Maryland,MD,1,CDC
2022-06-21,2022-06-21 23:57:17,Nevada,NV,1,CDC
2022-06-21,2022-06-21 23:57:17,New York,NY,21,CDC
2022-06-21,2022-06-21 23:57:17,Ohio,OH,1,CDC
2022-06-21,2022-06-21 23:57:17,Oklahoma,OK,2,CDC
2022-06-21,2022-06-21 23:57:17,Oregon,OR,1,CDC
2022-06-21,2022-06-21 23:57:17,Pennsylvania,PA,2,CDC
2022-06-21,2022-06-21 23:57:17,Rhode Island,RI,1,CDC
2022-06-21,2022-06-21 23:57:17,Texas,TX,2,CDC
2022-06-21,2022-06-21 23:57:17,Utah,UT,2,CDC
2022-06-21,2022-06-21 23:57:17,Virginia,VA,1,CDC
2022-06-21,2022-06-21 23:57:17,Washington,WA,2,CDC
2022-06-21,2022-06-21 23:57:17,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,CDC
2022-06-22,2022-06-22 22:25:05,Arizona,AZ,1,CDC
2022-06-22,2022-06-22 22:25:05,California,CA,40,CDC
2022-06-22,2022-06-22 22:25:05,Colorado,CO,5,CDC
2022-06-22,2022-06-22 22:25:05,District of Columbia,DC,4,CDC
2022-06-22,2022-06-22 22:25:05,Florida,FL,16,CDC
2022-06-22,2022-06-22 22:25:05,Georgia,GA,5,CDC
2022-06-22,2022-06-22 22:25:05,Hawaii,HI,5,CDC
2022-06-22,2022-06-22 22:25:05,Illinois,IL,19,CDC
2022-06-22,2022-06-22 22:25:05,Indiana,IN,2,CDC
2022-06-22,2022-06-22 22:25:05,Maryland,MD,3,CDC
2022-06-22,2022-06-22 22:25:05,Massachusetts,MA,9,CDC
2022-06-22,2022-06-22 22:25:05,Missouri,MO,2,CDC
2022-06-22,2022-06-22 22:25:05,Nevada,NV,1,CDC
2022-06-22,2022-06-22 22:25:05,New Jersey,NJ,1,CDC
2022-06-22,2022-06-22 22:25:05,New York,NY,22,CDC
2022-06-22,2022-06-22 22:25:05,Ohio,OH,1,CDC
2022-06-22,2022-06-22 22:25:05,Oklahoma,OK,2,CDC
2022-06-22,2022-06-22 22:25:05,Oregon,OR,1,CDC
2022-06-22,2022-06-22 22:25:05,Pennsylvania,PA,2,CDC
2022-06-22,2022-06-22 22:25:05,Rhode Island,RI,1,CDC
2022-06-22,2022-06-22 22:25:05,Texas,TX,4,CDC
2022-06-22,2022-06-22 22:25:05,Utah,UT,3,CDC
2022-06-22,2022-06-22 22:25:05,Virginia,VA,1,CDC
2022-06-22,2022-06-22 22:25:05,Washington,WA,4,CDC
