time_stamp,snap_shot,State,Abbr,Cases,Range
2022-06-13,2022-06-13 22 06 44,Utah,UT,2,1 to 2
2022-06-13,2022-06-13 22 06 44,Virginia,VA,1,1 to 2
2022-06-13,2022-06-13 22 06 44,Washington,WA,2,1 to 2
2022-06-13,2022-06-13 22 06 44,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,1,1 to 2
2022-07-15,2022-07-18 10 48 56,Alabama,AL,2,1 to 2
2022-07-15,2022-07-18 10 48 56,Arizona,AZ,11,1 to 2
2022-07-15,2022-07-18 10 48 56,Arkansas,AR,2,1 to 2
2022-07-15,2022-07-18 10 48 56,California,CA,266,1 to 2
2022-07-15,2022-07-18 10 48 56,Colorado,CO,20,1 to 2
2022-07-15,2022-07-18 10 48 56,Connecticut,CT,12,1 to 2
2022-07-15,2022-07-18 10 48 56,Delaware,DE,1,1 to 2
2022-07-15,2022-07-18 10 48 56,District of Columbia,DC,108,1 to 2
2022-07-15,2022-07-18 10 48 56,Florida,FL,154,1 to 2
2022-07-15,2022-07-18 10 48 56,Georgia,GA,93,1 to 2
2022-07-15,2022-07-18 10 48 56,Hawaii,HI,8,1 to 2
2022-07-15,2022-07-18 10 48 56,Idaho,ID,1,1 to 2
2022-07-15,2022-07-18 10 48 56,Illinois,IL,174,1 to 2
2022-07-15,2022-07-18 10 48 56,Indiana,IN,11,1 to 2
2022-07-15,2022-07-18 10 48 56,Iowa,IA,3,1 to 2
2022-07-15,2022-07-18 10 48 56,Kansas,KS,1,
2022-07-15,2022-07-18 10 48 56,Kentucky,KY,3,1 to 2
2022-07-15,2022-07-18 10 48 56,Louisiana,LA,6,1 to 2
2022-07-15,2022-07-18 10 48 56,Maryland,MD,37,1 to 2
2022-07-15,2022-07-18 10 48 56,Massachusetts,MA,51,1 to 2
2022-07-15,2022-07-18 10 48 56,Michigan,MI,13,1 to 2
2022-07-15,2022-07-18 10 48 56,Minnesota,MN,12,1 to 2
2022-07-15,2022-07-18 10 48 56,Missouri,MO,4,1 to 2
2022-07-15,2022-07-18 10 48 56,Nebraska,NE,2,1 to 2
2022-07-15,2022-07-18 10 48 56,Nevada,NV,6,1 to 2
2022-07-15,2022-07-18 10 48 56,New Hampshire,NH,1,1 to 2
2022-07-15,2022-07-18 10 48 56,New Jersey,NJ,31,1 to 2
2022-07-15,2022-07-18 10 48 56,New Mexico,NM,5,1 to 2
2022-07-15,2022-07-18 10 48 56,New York,NY,489,1 to 2
2022-07-15,2022-07-18 10 48 56,North Carolina,NC,13,1 to 2
2022-07-15,2022-07-18 10 48 56,Ohio,OH,7,1 to 2
2022-07-15,2022-07-18 10 48 56,Oklahoma,OK,3,1 to 2
2022-07-15,2022-07-18 10 48 56,Oregon,OR,21,1 to 2
2022-07-15,2022-07-18 10 48 56,Pennsylvania,PA,43,1 to 2
2022-07-15,2022-07-18 10 48 56,Puerto Rico,PR,4,1 to 2
2022-07-15,2022-07-18 10 48 56,Rhode Island,RI,4,1 to 2
2022-07-15,2022-07-18 10 48 56,South Carolina,SC,4,1 to 2
2022-07-15,2022-07-18 10 48 56,South Dakota,SD,1,1 to 2
2022-07-15,2022-07-18 10 48 56,Tennessee,TN,6,1 to 2
2022-07-15,2022-07-18 10 48 56,Texas,TX,76,1 to 2
2022-07-15,2022-07-18 10 48 56,Utah,UT,13,1 to 2
2022-07-15,2022-07-18 10 48 56,Virginia,VA,44,1 to 2
2022-07-15,2022-07-18 10 48 56,Washington,WA,41,1 to 2
2022-07-15,2022-07-18 10 48 56,West Virginia,WV,1,1 to 2
2022-07-15,2022-07-18 10 48 56,Wisconsin,WI,6,1 to 2
2022-06-21,2022-06-21 23 57 17,Arizona,AZ,1,1 to 2
2022-06-21,2022-06-21 23 57 17,California,CA,24,1 to 2
2022-06-21,2022-06-21 23 57 17,Colorado,CO,5,1 to 2
2022-06-21,2022-06-21 23 57 17,District of Columbia,DC,4,1 to 2
2022-06-21,2022-06-21 23 57 17,Florida,FL,10,1 to 2
2022-06-21,2022-06-21 23 57 17,Georgia,GA,3,1 to 2
2022-06-21,2022-06-21 23 57 17,Hawaii,HI,5,1 to 2
